Country,GDP per capita,Life satisfaction
South Africa,6100.354,4.7
Turkey,8957.894,5.5
Russia,11162.652,5.8
Poland,14901.546999999999,6.1
Hungary,17463.284,5.6
Lithuania,19266.788,5.9
Slovak Republic,19547.657,6.2
Greece,19974.374,5.4
Portugal,23030.786,5.4
Czech Republic,23213.953999999998,6.7
Estonia,23523.596,5.7
Slovenia,26170.25,5.9
Spain,29961.105,6.3
Korea,31430.597999999998,5.9
Italy,32946.524,6.0
New Zealand,40634.137,7.3
Japan,40846.777,5.9
United Kingdom,41030.232,6.8
France,41760.606,6.5
Israel,42823.307,7.2
Belgium,45175.585,6.9
Canada,46212.842000000004,7.4
Germany,46563.989,7.0
Finland,48868.742,7.6
Austria,50022.612,7.1
Sweden,51241.914000000004,7.3
Netherlands,52367.849,7.4
Australia,53825.164000000004,7.3
Denmark,59795.269,7.6
United States,65111.596,6.9
Iceland,67037.34,7.5
